eca06e41-6cd7-4af9-b952-d30cde383e60,aha,AHA (Alphahydroxy Acid),"[{'index': 18, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
d74078c5-dd3d-4314-9e83-55cab9b3a9b3,aha,AHA (Alphahydroxy Acid),"[{'index': 19, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
ac0e5afa-7224-4f29-9a8e-1cd7821e9dd1,niacinamide,Niacinamide,"[{'index': 32, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
ac0e5afa-7224-4f29-9a8e-1cd7821e9dd1,aha,AHA (Alphahydroxy Acid),"[{'index': 18, 'title': 'Glycolic Acid', 'alias': 'glycolic-acid'}]"
ac0e5afa-7224-4f29-9a8e-1cd7821e9dd1,pha,PHA (Polyhydroxy acid),"[{'index': 26, 'title': 'Lactobionic Acid', 'alias': 'lactobionic-acid'}]"
ac0e5afa-7224-4f29-9a8e-1cd7821e9dd1,vitamin,Vitamins,"[{'index': 32, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
9003f4e2-ad2a-45b6-a335-4c4c5a707428,aha,AHA (Alphahydroxy Acid),"[{'index': 13, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
c053e3b0-6768-471f-a670-a0eee635756c,hyaluronic_acid,Hyaluronic Acid,"[{'index': 18, 'title': 'Sodium Hyaluronate', 'alias': 'sodium-hyaluronate'}]"
c053e3b0-6768-471f-a670-a0eee635756c,aha,AHA (Alphahydroxy Acid),"[{'index': 40, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
4aac7f55-66b1-4bbf-a287-06b86f1edf51,niacinamide,Niacinamide,"[{'index': 24, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
4aac7f55-66b1-4bbf-a287-06b86f1edf51,aha,AHA (Alphahydroxy Acid),"[{'index': 11, 'title': 'Citric Acid', 'alias': 'citric-acid'}]"
4aac7f55-66b1-4bbf-a287-06b86f1edf51,bha,BHA (Betahydroxy acid),"[{'index': 20, 'title': 'Capryloyl Salicylic Acid', 'alias': 'capryloyl-salicylic-acid'}, {'index': 43, 'title': 'Salicylic Acid', 'alias': 'salicylic-acid'}]"
4aac7f55-66b1-4bbf-a287-06b86f1edf51,vitamin,Vitamins,"[{'index': 24, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
347db233-b5ed-4415-ab8c-a8968f019eac,niacinamide,Niacinamide,"[{'index': 5, 'title': 'Niacinamide', 'alias': 'niacinamide'}]"
